순번,금융회사 명,금융 상품명,가입 방법,대출종류 코드,대출종류명,CB 회사명,공시 시작일,공시 제출월,공시 종료일,900점 초과,801~900점,701~800점,601~700점,501~600점,401~500점,301~400점,300점 이하,평균 금리
90,제주은행,개인신용대출2,"영업점,인터넷,스마트폰",2,마이너스한도대출,NICE,20240720,202407,,3.59,3.6,3.6,3.6,,,,,3.59
91,제주은행,개인신용대출2,"영업점,인터넷,스마트폰",2,마이너스한도대출,NICE,20240720,202407,,6.13,6.18,7.08,6.59,,,,,6.18
92,전북은행,가계일반자금대출,"영업점,모집인",1,일반신용대출,kcb,20240720,202407,20240819,8.47,10.12,12.31,13.43,8.92,13.98,,16.91,11.4
93,전북은행,가계일반자금대출,"영업점,모집인",1,일반신용대출,kcb,20240720,202407,20240819,3.62,3.63,3.63,3.63,3.59,3.61,,3.62,3.63
94,전북은행,가계일반자금대출,"영업점,모집인",1,일반신용대출,kcb,20240720,202407,20240819,5.6,6.85,8.87,10.02,6.26,14.64,,13.36,8.11
95,전북은행,가계일반자금대출,"영업점,모집인",1,일반신용대출,kcb,20240720,202407,20240819,0.75,0.36,0.19,0.22,0.93,4.27,,0.07,0.34
96,전북은행,평생종합통장,"영업점,모집인",2,마이너스한도대출,kcb,20240720,202407,20240819,1.66,2.37,1.81,3.39,,,,,1.77
97,전북은행,평생종합통장,"영업점,모집인",2,마이너스한도대출,kcb,20240720,202407,20240819,4.67,5.08,5.73,8.28,,,,,4.85
98,전북은행,평생종합통장,"영업점,모집인",2,마이너스한도대출,kcb,20240720,202407,20240819,3.61,3.6,3.63,3.63,,,,,3.61
99,전북은행,평생종합통장,"영업점,모집인",2,마이너스한도대출,kcb,20240720,202407,20240819,6.62,6.31,7.55,8.52,,,,,6.69
100,전북은행,장기카드대출,"영업점,인터넷,스마트폰,기타",3,장기카드대출(카드론),NICE,20240721,202407,,,,15.21,18.2,,,,,15.75
101,경남은행,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240720,202407,,5.49,6.68,7.63,8.44,12.68,13.06,,,6.06
102,경남은행,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240720,202407,,3.55,3.57,3.6,3.6,3.57,3.2,,,3.56
103,경남은행,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240720,202407,,2.68,3.59,4.32,5.03,9.2,9.8,,,3.13
104,경남은행,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240720,202407,,0.74,0.48,0.29,0.19,0.09,-0.06,,,0.63
105,경남은행,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240720,202407,,0.4,0.37,0.47,0.05,,,,,0.39
106,경남은행,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240720,202407,,2.31,2.67,2.76,2.53,,,,,2.38
107,경남은행,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240720,202407,,3.55,3.55,3.55,3.57,,,,,3.55
108,경남은행,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240720,202407,,5.46,5.85,5.84,6.05,,,,,5.54
109,경남은행,장기카드대출,"영업점,인터넷,스마트폰,전화(텔레뱅킹),기타",3,장기카드대출(카드론),KCB,20240721,202407,,9.71,13.2,15.68,17.52,18.62,,,,13.58
110,중소기업은행,일반신용대출,"영업점,스마트폰,모집인",1,일반신용대출,NICE,20240718,202407,20250718,5.11,5.43,5.98,6.19,,,,,5.25
111,중소기업은행,일반신용대출,"영업점,스마트폰,모집인",1,일반신용대출,NICE,20240718,202407,20250718,3.53,3.51,3.5,3.48,,,,,3.52
112,중소기업은행,일반신용대출,"영업점,스마트폰,모집인",1,일반신용대출,NICE,20240718,202407,20250718,1.94,2.22,2.84,2.91,,,,,2.07
113,중소기업은행,일반신용대출,"영업점,스마트폰,모집인",1,일반신용대출,NICE,20240718,202407,20250718,0.36,0.3,0.36,0.2,,,,,0.34
114,중소기업은행,마이너스한도대출,"영업점,스마트폰,모집인",2,마이너스한도대출,NICE,20240718,202407,20250718,-0.08,0.09,0.54,0.6,,,,,-0.02
115,중소기업은행,마이너스한도대출,"영업점,스마트폰,모집인",2,마이너스한도대출,NICE,20240718,202407,20250718,1.92,2.28,3.06,3.4,,,,,2.04
116,중소기업은행,마이너스한도대출,"영업점,스마트폰,모집인",2,마이너스한도대출,NICE,20240718,202407,20250718,3.6,3.59,3.58,3.59,,,,,3.6
117,중소기업은행,마이너스한도대출,"영업점,스마트폰,모집인",2,마이너스한도대출,NICE,20240718,202407,20250718,5.6,5.78,6.1,6.39,,,,,5.66
118,중소기업은행,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹),기타",3,장기카드대출(카드론),KCB,20240721,202407,,8.42,11.42,14.74,15.91,17,,,,13.39
119,국민은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240718,202407,,4.91,5.41,5.84,6.14,6.14,,,,5.07
120,국민은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240718,202407,,3.55,3.54,3.55,3.53,3.51,,,,3.55
121,국민은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240718,202407,,1.93,2.42,2.79,3.42,3.52,,,,2.09
122,국민은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240718,202407,,0.57,0.55,0.5,0.81,0.89,,,,0.57
123,국민은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240718,202407,,0.93,0.94,0.81,1.08,,,,,0.94
124,국민은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240718,202407,,2.26,2.73,2.84,4.38,,,,,2.32
125,국민은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240718,202407,,3.56,3.55,3.56,3.57,,,,,3.56
126,국민은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240718,202407,,4.89,5.34,5.59,6.87,,,,,4.94
127,신한은행,개인신용대출(일반신용대출),"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240718,202407,,5.17,6.46,7.83,9.09,10.34,9.16,12,13.99,5.77
128,신한은행,개인신용대출(일반신용대출),"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240718,202407,,3.38,3.08,2.72,2.44,2.08,1.21,3.58,3.59,3.24
129,신한은행,개인신용대출(일반신용대출),"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240718,202407,,3.13,4.43,6.12,7.6,9.01,8.99,9.05,10.4,3.78
130,신한은행,개인신용대출(일반신용대출),"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240718,202407,,1.34,1.05,1.01,0.95,0.75,1.04,0.63,,1.25
131,신한은행,개인신용대출(마이너스한도대출),"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240718,202407,,5.35,5.84,6.63,9.02,,,,5.87,5.8
132,신한은행,개인신용대출(마이너스한도대출),"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240718,202407,,3.57,3.57,3.59,3.57,,,,3.59,3.59
133,신한은행,개인신용대출(마이너스한도대출),"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240718,202407,,3.09,3.32,4.11,6.75,,,,2.28,2.43
134,신한은행,개인신용대출(마이너스한도대출),"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240718,202407,,1.31,1.05,1.07,1.3,,,,,0.22
135,농협은행주식회사,가계신용대출(일반),영업점,1,일반신용대출,KCB,20240718,202407,,5.33,6.3,7.17,8.21,9.56,11.05,12.52,8.37,5.71
136,농협은행주식회사,가계신용대출(일반),영업점,1,일반신용대출,KCB,20240718,202407,,3.56,3.52,3.49,3.52,3.55,3.58,3.59,3.61,3.54
137,농협은행주식회사,가계신용대출(일반),영업점,1,일반신용대출,KCB,20240718,202407,,2.9,3.73,4.68,5.64,6.62,7.74,9.33,5.16,3.25
138,농협은행주식회사,가계신용대출(일반),영업점,1,일반신용대출,KCB,20240718,202407,,1.13,0.95,1,0.95,0.61,0.27,0.4,0.4,1.08
139,농협은행주식회사,가계신용대출(마이너스대출),영업점,2,마이너스한도대출,KCB,20240718,202407,,1.16,0.83,0.72,1.37,1.28,,,,1.12
